article_id,group_reprint_id
ChicagoDailyTribune1872,Walcott1872_reprint
Clifford1921,Walcott1872_reprint
Nidever1878,Nidever1878_reprint
Murray1878,Nidever1878_reprint
Ellison1937,Nidever1878_reprint
Nidever1961,Nidever1878_reprint
Nidever1966,Nidever1878_reprint
Ellison1984,Nidever1878_reprint
Dittman1878,Dittman1878_reprint
Dittman1961,Dittman1878_reprint
Dittman1966,Dittman1878_reprint
Stuart1878,Stuart1878_reprint
San Francisco Call (see StillSearching),San Francisco Call (see StillSearching)_reprint
Stuart1879_Jan28,San Francisco Call (see StillSearching)_reprint
Stuart1879_Jan29,San Francisco Call (see StillSearching)_reprint
SanFranciscoChronicle1879,San Francisco Call (see StillSearching)_reprint
NewYorkHerald1879,San Francisco Call (see StillSearching)_reprint
AlbanyEveningJournal1879,San Francisco Call (see StillSearching)_reprint
ThePioneer1879,San Francisco Call (see StillSearching)_reprint
RochesterDemocratAndChronicle1879,San Francisco Call (see StillSearching)_reprint
UticaDailyObserver1879,San Francisco Call (see StillSearching)_reprint
TheCouncilGroveRepublican1879,San Francisco Call (see StillSearching)_reprint
StLawrencePlaindealer1879,San Francisco Call (see StillSearching)_reprint
WatkinsExpress1879,San Francisco Call (see StillSearching)_reprint
DecaturDailyReview1879,San Francisco Call (see StillSearching)_reprint
SalemWeeklyReview1879,San Francisco Call (see StillSearching)_reprint
TheInterOcean1879,San Francisco Call (see StillSearching)_reprint
ReadingTimesAndDispatch1879,San Francisco Call (see StillSearching)_reprint
NewYorkTimes1879,San Francisco Call (see StillSearching)_reprint
TheTimes1879,San Francisco Call (see StillSearching)_reprint
BostonEveningTranscript1879,San Francisco Call (see StillSearching)_reprint
BurlingtonFreePress1879,San Francisco Call (see StillSearching)_reprint
CambriaFreeman1879,San Francisco Call (see StillSearching)_reprint
LowellDailyCitizen1879,San Francisco Call (see StillSearching)_reprint
TheNewbernian1879,San Francisco Call (see StillSearching)_reprint
TheRedCloudChief1879,San Francisco Call (see StillSearching)_reprint
TimesOfIndia1879,San Francisco Call (see StillSearching)_reprint
TiffinTribune1879,San Francisco Call (see StillSearching)_reprint
ThePeeDeeBee1879,San Francisco Call (see StillSearching)_reprint
TheBlueRidgeBlade1879,San Francisco Call (see StillSearching)_reprint
TheGazette1879,San Francisco Call (see StillSearching)_reprint
TheQueanbeyanAge1879,San Francisco Call (see StillSearching)_reprint
TheWaggaWaggaAdvertiser1879,San Francisco Call (see StillSearching)_reprint
TheArgus1879,San Francisco Call (see StillSearching)_reprint
TheNorthernStar1879,San Francisco Call (see StillSearching)_reprint
TheMorningBulletin1879,San Francisco Call (see StillSearching)_reprint
TheGoulburnHeraldAndChronicle1879,San Francisco Call (see StillSearching)_reprint
TheQueenslandTimes1879,San Francisco Call (see StillSearching)_reprint
CornwallChronicle1879,San Francisco Call (see StillSearching)_reprint
TheNewtownRegister1879,San Francisco Call (see StillSearching)_reprint
TheMaitlandMercury1879,San Francisco Call (see StillSearching)_reprint
TheNewfoundlander1879,San Francisco Call (see StillSearching)_reprint
TheWarwickExaminerAndTimes1879,San Francisco Call (see StillSearching)_reprint
TheCapricornian1879,San Francisco Call (see StillSearching)_reprint
TheKiamaIndependent1879,San Francisco Call (see StillSearching)_reprint
ThePublicLedger1879,San Francisco Call (see StillSearching)_reprint
ShipwreckedMariner1879,San Francisco Call (see StillSearching)_reprint
SteubenFarmersAdvocate1879,San Francisco Call (see StillSearching)_reprint
TheKapundaHerald1879,San Francisco Call (see StillSearching)_reprint
TheOtagoDailyTimes1879,San Francisco Call (see StillSearching)_reprint
NewcastleMorningHerald1879,San Francisco Call (see StillSearching)_reprint
NorthOtagoTimes1879,San Francisco Call (see StillSearching)_reprint
TheStar1879_Jun9,San Francisco Call (see StillSearching)_reprint
TheNorthernArgus1879,San Francisco Call (see StillSearching)_reprint
TheSouthAustralianRegister1879,San Francisco Call (see StillSearching)_reprint
ThamesAdvertiser1879,San Francisco Call (see StillSearching)_reprint
TheBorderWatch1879,San Francisco Call (see StillSearching)_reprint
TheStar1879_Oct25,San Francisco Call (see StillSearching)_reprint
TheMillheimJournal1879,San Francisco Call (see StillSearching)_reprint
Stuart1880,San Francisco Call (see StillSearching)_reprint
Stuart1880_TCE,San Francisco Call (see StillSearching)_reprint
CambriaFreeman1880,San Francisco Call (see StillSearching)_reprint
TheBruceHerald1884,San Francisco Call (see StillSearching)_reprint
Hardacre1880_SM,Hardacre1880_SM_reprint
Hardacre1880_TBC,Hardacre1880_SM_reprint
Hardacre1880_WE,Hardacre1880_SM_reprint
Hardacre1880_VP,Hardacre1880_SM_reprint
Hardacre1880_TTDT,Hardacre1880_SM_reprint
Hardacre1880_THR,Hardacre1880_SM_reprint
Hardacre1880_TH,Hardacre1880_SM_reprint
TheFresnoRepublican1880,Hardacre1880_SM_reprint
TheRiverineGrazier1880,Hardacre1880_SM_reprint
Hardacre1881_ODH16(92),Hardacre1880_SM_reprint
Hardacre1881_ODH16(93),Hardacre1880_SM_reprint
Wrexham (Wales) Advertiser (see StillSearching),Wrexham (Wales) Advertiser (see StillSearching)_reprint
Rawlins1881_Jul27,Wrexham (Wales) Advertiser (see StillSearching)_reprint
